agent,query,difficulty,solution,cite,necessary_tools,unnecessary_tools,possible,current_plan,messages
confluence_agent,"¿Existe una guía de estilos para el frontend, donde está?",,"""Sí existe"", ""está disponible en confluence""",guia_de_estilos_visual,"confluence_get_page, cite_document",confluence_search,TRUE,,
confluence_agent,¿Cuáles son los colores principales y secundarios de la aplicación?,,"""Color primario: Azul Bootstrap (#0d6efd class='text-primary')"", ""Color secundario:  Gris claro (#f8f9fa class=bg-light)""",guia_de_estilos_visual,"confluence_get_page, cite_document",,TRUE,,
confluence_agent,Listame las funcionalidades por implementar en el Frontend,,"""Crawlers"", ""API Keys"", Settings""",limitaciones_y_mejoras_pendientes,"confluence_get_page, cite_document",,TRUE,,
confluence_agent,¿Qué frameworks o librerías se usan para el frontend?,,"""Se usa Bootstrap"", ""Se usa JQuery""",funcionamiento_y_diseño_interfaz,"confluence_get_page, cite_document",,TRUE,,
confluence_agent,Listame las funcionalidades de la interfaz visual,,"""Funcionalidad Playground de Agentes"", ""Funcionalidad gestión de agentes"", ""Funcionalidad Gestión de repositorios y recursos""",funcionamiento_y_diseño_interfaz,"confluence_get_page, cite_document",,TRUE,,
confluence_agent,¿Cómo está estructurada jerárquicamente la navegación en la interfaz?,,"""Navegación Principal"", ""Navegación Contextual"", ""Navegación por Repositorio""",funcionamiento_y_diseño_interfaz,"confluence_get_page, cite_document",,TRUE,,
confluence_agent,¿Dónde puedo encontrar información sobre la documentación del frontend del proyecto?,,"""Confluence tiene documentación sobre frontend del proyecto""",confluence_documentation,cite_document,,TRUE,,
confluence_agent,¿Quién es el encargado de desarrollar el frontend?,,,,"confluence_search, confluence_get_page",cite_document,FALSE,,
confluence_agent,¿Qué mecanismo o herramienta utiliza el equipo para comunicarse sobre el desarrollo del frontend?,,,,"confluence_search, confluence_get_page",cite_document,FALSE,,
confluence_agent,¿Existe alguna maqueta disponible como referencia para el frontend?,,,,"confluence_search, confluence_get_page",cite_document,FALSE,,
code_agent,"¿Cuáles son todas las tecnologías, frameworks y lenguajes utilizados en el proyecto?",,"""Flask"", ""LangChain"", ""PGVector, ""PostgreSQL"", ""Bootstrap"", ""JQuery"", ""Docker"", ""Python""",requirements.txt,cite_document,,TRUE,,
code_agent,¿Qué herramientas específicas se utilizan para gestionar las migraciones de esquemas de base de datos?,,"""Se usa alembic para las migraciones""",alembic,cite_document,,TRUE,,
code_agent,¿Qué sistemas externos se integran o comunican con este sistema?,,"""APIs de OpenAI"", ""APIs de Anthropic""",,cite_document,,TRUE,,
code_agent,"¿Qué patrones de diseño, estructuras de herencia o composición se implementan en el código?",,"""Patrón MVC entre modelos templates y blueprints"", ""Factory method en getLLM de modelTools.py""",,cite_document,,TRUE,,
code_agent,"¿Mediante qué protocolos, estándares o interfaces se conectan los sistemas externos?",,"""APIs para las conexiones con OpenAI y Anthropic"", """,app/api/api.py,cite_document,,TRUE,,
code_agent,¿Cómo se accede desde la aplicación web en python al modelo de la base de datos?,,"""Se usa SQLAlchemy con flask""",,cite_document,"get_code_repository_rag_docs_from_query_tool, get_file_from_repository_tool, get_repository_tree_tool",TRUE,,
code_agent,¿Qué sistemas de despliegue son posibles?,,"""Despliegue con Docker"", ""Ejecución directa en entorno de desarrollo""","Dockerfile, docker-compose.yaml",cite_document,"get_code_repository_rag_docs_from_query_tool, get_file_from_repository_tool, get_repository_tree_tool",TRUE,,
code_agent,¿Qué canales de comunicación están disponibles para los desarrolladores del proyecto?,,,,get_code_repository_rag_docs_from_query_tool,cite_document,FALSE,,
code_agent,¿Cuáles son los niveles de permiso o roles definidos para cada tipo de actor en el sistema?,,,,get_code_repository_rag_docs_from_query_tool,cite_document,FALSE,,
code_agent,¿Quién es el desarrollador líder del proyecto?,,,,get_code_repository_rag_docs_from_query_tool,cite_document,FALSE,,
file_system_agent,¿Quiénes conforman el equipo de desarrollo y cuáles son sus roles?,,"""Aritz Galdos es el desarrollador líder"", ""Mikel Lonbide es el desarrollador principal"", ""Raúl es contribuidor"", ""Juanjo es contribuidor""",equipo-y-comunicacion.md,"read_file, cite_document","read_multiple_files, directory_tree, search_files",TRUE,,
file_system_agent,¿Cuáles son los canales oficiales de comunicación del equipo?,,"""El equipo usa chats de gmail"", ""El equipo usa email para comunicaciones formales"", ""El equipo usa Microsoft Teams para reuniones virtuales""",equipo-y-comunicacion.md,"read_file, cite_document","read_multiple_files, directory_tree, search_files",TRUE,,
file_system_agent,¿Cuál es el cliente del proyecto y cuáles son sus objetivos?,,"""El cliente es LKS Next mismo""",informacion-cliente.md,"read_file, cite_document","read_multiple_files, directory_tree, search_files",TRUE,,
file_system_agent,¿Cuáles son los estándares de código definidos para el proyecto?,,"""Estructura del proyecto organizada con carpetas coherentes"", ""nomenclatura snake_case para archivos y directorios"", ""nomenclatura snake_case para funciones y variables"", ""nomenclatura CamelCase para clases"", ""constantes en mayúscula"", ""blueprints de flask con la estructura nombre_blueprint""  ",estandares-codigo.md,"read_file, cite_document","read_multiple_files, directory_tree, search_files",TRUE,,
file_system_agent,¿Cuál es la metodología de trabajo utilizada en el proyecto?,,"""Se usa un enfoque ágil adaptado a las necesidades del equipo"", ""reuniones semanales""",metodologia.md,"read_file, cite_document",,TRUE,,
file_system_agent,Listame las fuentes externas de documentación para el proyecto,,"""Confluence para documentación de frontend"", ""Google Drive para maquetas HTML""",equipo-y-comunicacion.md,"read_file, search_files, cite_document",,TRUE,,
file_system_agent,¿Se utiliza algún sistema de gestión de tareas por completar?,,"""Se usan las issues / incidencias de GitLab para la gestión de tareas pendientes""",sistema-gestion-tareas.md,"read_file, cite_document",,TRUE,,
file_system_agent,¿Dónde puedo encontrar la documentación oficial del proyecto?,,"""La documentación oficial se encuentra en el enlace citado""",oficial_documentation,cite_document,,TRUE,,
file_system_agent,¿En qué sistema o plataforma se documentan y gestionan los requisitos oficiales del proyecto?,,,,"read_file, search_files",cite_document,FALSE,,
file_system_agent,¿Cómo funciona detalladamente el proceso de integración continua y qué validaciones incluye?,,,,"read_file, search_files",cite_document,FALSE,,
file_system_agent,¿Qué dice la guía de estilos visual?,,,,"read_file, search_files",cite_document,FALSE,,
google_drive_agent,¿Existe alguna plantilla para el panel de administrador? ¿Qué funcionalidades ofrece?,,"""Sí existe"", ""Ofrece ver perfiles de héroes"", ""Ofrece ver equipos"", ""Ofrece crear""",0-heroes-admin.html,"gdrive_read_file, cite_document",gdrive_search,TRUE,,
google_drive_agent,¿Cuáles son los paneles a los que se puede navegar en las maquetas HTML mediante la barra de navegación lateral izquierda?,,"""Panel dashboard"", ""Panel heroes"", ""Panel admin"", ""panel contact""",,"gdrive_read_file, cite_document",,TRUE,,
google_drive_agent,¿Existe alguna plantilla para el login? ¿Qué datos requiere para el inicio de sesión?,,"""Sí login.html"", ""Requiere el nombre de usuario y contraseña""",login.html,"gdrive_read_file, cite_document",gdrive_search,TRUE,,
google_drive_agent,¿Dónde se debe poner el botón para ver información del perfil de la cuenta del usuario según las plantillas html?,,"""En la parte superior derecha de la pantalla""",,"gdrive_read_file, cite_document",,TRUE,,
google_drive_agent,¿Dónde puedo encontrar los maquetas html del proyecto?,,"""Están en Google Drive"", ""Están en enlace citado""",google_drive_documents,cite_document,,TRUE,,
google_drive_agent,Listame las plantillas que consideren la reserva o pago del producto,,,,search_files,,FALSE,,
google_drive_agent,Listame las plantillas que ofrezcan la funcionalidad de enviar mensajes a gente,,,,search_files,,FALSE,,
gitlab_agent,¿Cuáles ramas existen en el proyecto de git?7,,"""Existe la rama main"", ""Existe la rama develop"", ""Existen varias ramas feature""",,get_gitlab_braches,"get_gitlab_issues, get_gitlab_project_statistics, get_gitlab_project_commits, get_gitlab_project_members, cite_document",TRUE,,
gitlab_agent,¿Quien es el desarrollador con más commits de 2025?,,"""Mikel Lonbide es el desarrollador con más commits""",,get_gitlab_project_commits,"get_gitlab_issues, get_gitlab_project_statistics, get_gitlab_project_members, get_gitlab_braches, cite_document",TRUE,,
gitlab_agent,¿Existe algún issue para arreglar el bug de pgvector?,,"""No existe ningún issue para un bug específico de pgvector""",,get_gitlab_issues,"get_gitlab_issues, get_gitlab_project_statistics, get_gitlab_project_members, get_gitlab_braches, get_gitlab_project_commits, cite_document",TRUE,,
gitlab_agent,¿Cuál es el ID de usuario de Aritz Galdos?,,"""El ID es 6""",,get_gitlab_project_members,"get_gitlab_issues, get_gitlab_project_statistics, get_gitlab_issues, get_gitlab_braches, get_gitlab_project_commits, cite_document",TRUE,,
gitlab_agent, Listame todos los commits de Mikel desde el 1 de enero de 2025 hasta el 1 de febrero de 2025,,"""commit con id: eb87d1c922a3f928ec489a2d1a880437d3fdcefb"", ""commit con id: e71c67b28c3fe3b71bc61975443b63adcdd0bca0"", ""commit con id: 4aeb3cd2b8974f229849f1f96de607e2b1fcb0e0""","eb87d1c922a3f928ec489a2d1a880437d3fdcefb, e71c67b28c3fe3b71bc61975443b63adcdd0bca0, 4aeb3cd2b8974f229849f1f96de607e2b1fcb0e0","get_gitlab_project_members, get_gitlab_project_commits, cite_document","get_gitlab_issues, get_gitlab_project_statistics, get_gitlab_issues, get_gitlab_braches",TRUE,,
gitlab_agent,Listame todos los commits de Ángel García a partir del 5 de enero de 2025,,,,get_gitlab_project_members,"get_gitlab_issues, get_gitlab_project_statistics, get_gitlab_issues, get_gitlab_braches, get_gitlab_project_commits, cite_document",FALSE,,
gitlab_agent,Listame todas las issues que Raul Medeiros ha creado,,"""Issue con título: Indexado multiple de documentos""",12,"get_gitlab_project_members, get_gitlab_issues, cite_document","get_gitlab_issues, get_gitlab_project_statistics, get_gitlab_braches, get_gitlab_project_commits",TRUE,,
gitlab_agent,¿Cuándo fue creado el repositorio de gitlab?,,"""El 10 de diciembre de 2024""",,,"get_gitlab_issues, get_gitlab_project_statistics, get_gitlab_project_commits, get_gitlab_project_members, get_gitlab_braches, cite_document",TRUE,,
gitlab_agent,¿Cuantos forks se le ha hecho al proyecto?,,"""No se le ha hecho ningún fork""",,,"get_gitlab_issues, get_gitlab_project_statistics, get_gitlab_project_commits, get_gitlab_project_members, get_gitlab_braches",TRUE,,
gitlab_agent,¿Cuando fue creada la rama feature/add_pgvector_tools?,,,,get_gitlab_braches,"get_gitlab_issues, get_gitlab_project_statistics, get_gitlab_project_commits, get_gitlab_project_members, cite_document",FALSE,,
gitlab_agent,¿Cuál es el issue que exige el arreglo de la feature pgvector?,,,,get_gitlab_issues,"get_gitlab_issues, get_gitlab_project_statistics, get_gitlab_project_members, get_gitlab_braches, get_gitlab_project_commits, cite_document",FALSE,, 
gitlab_agent,¿Cuál es el id del último commit de Mikel en 2024?,,"""Commit con id: 041ce88054a118edd33f1094e48ff2fa6b8228f1""",041ce88054a118edd33f1094e48ff2fa6b8228f1,"get_gitlab_project_members, get_gitlab_project_commits, cite_document","get_gitlab_issues, get_gitlab_project_statistics, get_gitlab_issues, get_gitlab_braches",TRUE,,
gitlab_agent,¿Dónde está el repositorio de GitLab?,,"""Está en el gitlab de LKS NEXT: https://gitlab.devops.lksnext.com/lks/genai/ia-core-tools""",gitlab_repository,cite_document,,TRUE,,
orchestrator_agent,,,,,file_system_agent,"confluence_agent, google_drive_agent, code_agent, gitlab_agent",TRUE,Busca información sobre el propósito general del proyecto,
orchestrator_agent,,,,,"file_system_agent, code_agent","confluence_agent, google_drive_agent, gitlab_agent",TRUE,Busca información sobre el entorno y despliegue del sistema,
orchestrator_agent,,,,,file_system_agent,"confluence_agent, google_drive_agent, code_agent, gitlab_agent",TRUE,Busca información sobre la gestión del proyecto,
orchestrator_agent,,,,,"file_system_agent, confluence_agent","google_drive_agent, code_agent, gitlab_agent",TRUE,Busca información sobre los estándares y prácticas del desarrollo del proyecto,
orchestrator_agent,,,,,file_system_agent,"confluence_agent, google_drive_agent, code_agent, gitlab_agent",TRUE,Busca información sobre la documentación del proyecto,
orchestrator_agent,,,,,"file_system_agent, code_agent","confluence_agent, google_drive_agent, gitlab_agent",TRUE,Busca información sobre la arquitectura del código fuente del proyecto,
orchestrator_agent,,,,,file_system_agent,"confluence_agent, google_drive_agent, code_agent, gitlab_agent",TRUE,Busca información sobre las reuniones del proyecto,
orchestrator_agent,,,,,code_agent,"file_system_agent, confluence_agent, google_drive_agent, gitlab_agent",TRUE,Busca información sobre la función get_llms(),
orchestrator_agent,,,,,google_drive_agent,"file_system_agent, confluence_agent, code_agent, gitlab_agent",TRUE,Busca información sobre una maqueta html para el login de la aplicación,
orchestrator_agent,,,,,gitlab_agent,"file_system_agent, confluence_agent, google_drive_agent, code_agent",TRUE,Busca información sobre issues del proyecto que mencionen bugs,
orchestrator_agent,,,,,confluence_agent,"file_system_agent, google_drive_agent, code_agent, gitlab_agent",TRUE,Busca información sobre los colores de la guía de estilos,
orchestrator_agent,,,,,"file_system_agent, confluence_agent, google_drive_agent","gitlab_agent, code_agent",TRUE,Busca documentación de la interfaz de usuario de la aplicación,
planner_agent,¿Cómo funciona el frontend del proyecto?,,"""finished: false"", ""El plan contiene un step para obtener información relacionada con el frontend del proyecto"", ""El plan listado (steps) contiene un solo elemento""",,,,TRUE,,
planner_agent,¿Qué tecnologías se utilizan en el proyecto?,,"""finished: false"", ""El plan contiene un step para obtener información relacionada con las tecnologías utilizadas"", ""El plan listado (steps) contiene un solo elemento""",,,,TRUE,,
planner_agent,¿Cómo funciona la gestión del proyecto?,,"""finished: false"", ""El plan contiene un step para obtener información relacionada con la gestión del proyecto"", ""El plan listado (steps) contiene un solo elemento""",,,,TRUE,,
planner_agent,Proporciona ejemplos en los que se aplica la guía de estilos visual en el proyecto,,"""finished: false"", ""El plan contiene un step para obtener información relacionada con la guía de estilos visual del proyecto"", ""El plan listado (steps) contiene más de un elemento",,,,TRUE,,
planner_agent,Proporciona ejemplos en los que se aplica la guía de estilos en el proyecto,,"""finished: false"", ""El plan contiene un step para obtener ejemplos de código de frontend donde se apliquen los principios de la guía de estilos"", ""el step listado contiene información sobre las características de la guía de estilos del código a buscar""",,,,TRUE,"""Para buscar ejemplos donde se aplica la guía de estilos visual primero hay que buscar la guía de estilos visual del proyecto "",""Obtener la guía de estilos visual del proyecto""","""Guía de estilos visual: Primario: Azul Bootstrap (#0d6efd class=text-primary) Secundario: Gris claro (#f8f9fa class=bg-light) Fuentes Web:

DM Sans: Para textos generales (weights: 400 500 700)

Poppins: Para títulos y elementos destacados (weights: 400 500 700)

Carga: Mediante Google Fonts

Sistema de Grid:

Basado en Bootstrap con 12 columnas

Responsive con breakpoints estándar de Bootstrap

Clases principales: .row .col-[tamaño] .col-[tamaño]-[número]"""
planner_agent,Proporciona ejemplos en los que se aplica la guía de estilos en el proyecto,,"""finished: true"", ""Se ha obtenido información suficiente sobre la guía de estilos y el código en el que se aplica""",,,,TRUE,"""Para buscar ejemplos donde se aplica la guía de estilos visual primero hay que buscar la guía de estilos visual del proyecto"", ""Primero se debe obtener la guía de estilos del proyecto"", ""Después se deben obtener ejemplos de código donde se aplique esta guía de estilos""","""Guía de estilos visual: Primario: Azul Bootstrap (#0d6efd class=text-primary) Secundario: Gris claro (#f8f9fa class=bg-light) Fuentes Web:

DM Sans: Para textos generales (weights: 400 500 700)

Poppins: Para títulos y elementos destacados (weights: 400 500 700)

Carga: Mediante Google Fonts

Sistema de Grid:

Basado en Bootstrap con 12 columnas

Responsive con breakpoints estándar de Bootstrap

Clases principales: .row .col-[tamaño] .col-[tamaño]-[número]"",

""<div class=col-12>
    <input type=submit class=btn btn-primary value=Save />
    <a href={{ url_for(agents.app_agents app_id=session[app_id]) }}
        class=btn btn-primary-soft>Cancel</a>
</div>"",

""<div class=bg-light border border-secondary border-opacity-25 p-3 rounded mt-4 id=referenece>
    <div class=d-sm-flex align-items-center>
        <div class=avatar avatar-xs flex-shrink-0>
            <img class=avatar-img rounded-circle src=/static/img/logo-lks.svg alt=avatar>
        </div>
        <h6 class=mb-0 ms-2 id=ref-name>{{agent.name}}</h6>
    </div>
    <div class=hstack gap-4 gap-md-5 flex-wrap mt-2>
        <div>
            <p class=mb-0 id=ref-text>Hello I am {{agent.name}} agent... May I help you?</p>
        </div>
    </div>
</div>"",

""<div class=row>
    <div class=col-2>
        {% include repositories/repo_menu.html %}
    </div>
    <div class=col-10>
        <div class=card shadow mb-4>
            <div class=card-header border-bottom>
                <h5 class=mb-0>Repository: {{repo.name}}</h5>
            </div>
            <form
                action={{ url_for(repositories.repository app_id=session[app_id] repository_id=repo.repository_id) }}
                method=POST>
                <input type=hidden name=app_id value={{app_id}}>
                <div class=card-body>
                    <div class=row>
                        <div class=col-md-6 mb-4>
                            <label class=form-label>Name<span class=text-danger>*</span></label>
                            <input type=text class=form-control placeholder=Name... value={{repo.name}}
                                name=name>
                        </div>
                    </div>
                </div>
            </form>
        </div>
    </div>
</div>"",

""<div class=d-sm-flex justify-content-between align-items-center>
    <h1 class=h4 mb-2 mb-sm-0>Agents</h1>
    <a href={{ url_for(agents.app_agent app_id=session[app_id] agent_id=0) }} class=btn btn-primary mt-3>
        <i class=bi bi-plus></i>
    </a>
</div>"""
planner_agent,¿Existe alguna issue para las funcionalidades marcadas en la documentación por implementar?,,"""finished: false"", ""El plan contiene un step para obtener las funcionalidades de la documentación marcadas como por implementar"", ""El plan listado (steps) contiene más de un elemento""",,,,TRUE,,
